# Puzzles from the Lichess puzzle database (CC0), chosen by python/puzzles.py.
# id<TAB>fen<TAB>moves (UCI; the first is the opponent's)<TAB>rating<TAB>themes
vvzNI	r4rk1/1b3pbp/p3p1p1/1pPq4/5B2/3BP3/PP3PPP/R2Q1RK1 w - - 1 16	f4d6 d5g2	658	kingsideAttack mate mateIn1 middlegame
VADF5	1r1q1rk1/3nppbp/3p2p1/Q7/1P6/4P1P1/3BRPBP/R5K1 w - - 3 23	a1b1 d8a5 b4a5 b8b1	661	middlegame
GrmFG	3r1kr1/1b5p/3P2q1/pp3Q2/2pB4/2P5/P5PP/4RRK1 b - - 0 28	g6f5 f1f5	661	mate mateIn1 middlegame
1j4RC	4r1k1/pp3pp1/7p/8/6Q1/1P3P2/4q2P/6RK b - - 0 34	e2e6 g4g7	664	endgame mate mateIn1
gJQbO	r2q1rk1/2p1bppp/p7/1p2p3/4P1n1/2PP2Nb/PPB2P1P/R1BQ2RK w - - 1 17	f2f3 g4f2	664	mate mateIn1 middlegame
cXlzb	r3k1r1/pp2bp1p/2p1pp2/1P6/P4qb1/3P1BP1/2P2P1P/R2Q1RK1 w q - 1 17	g3f4 g4f3	665	discoveredAttack kingsideAttack mate mateIn1 middlegame
MX5cQ	r4rk1/pp3p1p/8/3pBp2/2P2P2/2P3q1/P2KB3/6RR b - - 1 21	g3g1 h1g1	665	endgame hangingPiece mate mateIn1
EvzPi	4r1k1/pbp5/3b1B2/6p1/1P2P3/P1Q2P1q/2P4P/R3R2K w - - 0 26	e1g1 h3h2	667	mate mateIn1 middlegame
34gd6	r4rk1/pppqb1p1/2bp1n1p/5pN1/3Q3P/1P2P3/PBP1NPP1/2KR3R b - - 0 13	f6g4 d4g7	668	kingsideAttack mate mateIn1 middlegame
f6z6h	r1b1k2r/pppp1ppp/2n2q2/2b1N3/4n3/6PP/PPPP1PB1/RNBQK2R w KQkq - 1 7	g2e4 f6f2	670	mate mateIn1 opening
k5Vtv	6Q1/4k2p/6p1/6P1/3P2p1/1KP5/5q2/8 w - - 0 57	g8h7 f2f7 h7f7 e7f7	671	endgame
obKyC	2r1kb1r/2q2pp1/p1p1p1p1/3p2B1/3P2n1/2NQ3P/PPP1RP2/R5K1 w k - 0 17	h3g4 c7h2 g1f1 h2h1	672	kingsideAttack mate mateIn2 middlegame
FVhhI	8/8/5k2/6pp/5p2/2K4P/p1Nr2P1/6R1 b - - 1 43	d2g2 g1g2 a2a1r c2a1	677	endgame hangingPiece
6w5zg	5k2/5r1r/3p4/3P1N2/1pn1pR1P/p3P2K/2R5/8 b - - 1 54	c4e3 c2c8	678	endgame mate mateIn1
hR0ib	3r4/8/1P6/4P3/3B1p2/2P2k1p/7K/8 w - - 1 41	h2h3 d8h8	678	endgame mate mateIn1
VnYkj	5rk1/1Qn2ppp/2n1p3/q7/3P4/5B2/3N1PPP/1R4K1 b - - 0 20	f8b8 b7b8 c6b8 b1b8 c7e8 b8e8	679	backRankMate mate mateIn3 middlegame
s3RiU	2r4k/pp4pp/3BQp2/4n2n/5q2/5P2/P1r1BP1P/3R2RK b - - 6 22	c2e2 e6c8	679	hangingPiece mate mateIn1 middlegame
EZrEP	6rk/4Qp1p/8/p1ppP3/8/5NK1/PPq3P1/5R1R w - - 3 27	g3h2 c2g2	680	endgame mate mateIn1
eaJPN	r3r1k1/3n2p1/p2qp2p/2p1p3/2Bp4/1P1P2QP/2P2PP1/R3R1K1 w - - 4 22	a1a6 a8a6 c4a6 d6a6	683	middlegame
1RyE7	r3k2r/1b3pp1/p2Pp3/1pb5/4qP2/P2P2Pp/1P1BN2P/2R2Q1K w kq - 0 23	d3e4 b7e4 f1f3 e4f3	684	kingsideAttack mate mateIn2 middlegame
c9MqU	5k2/p1p5/1b1p1r1P/1P1P4/2P3R1/3B1P2/6P1/7K w - - 1 45	h6h7 f6h6 g4h4 h6h4	684	endgame mate mateIn2
YJV4Q	r4rk1/1p3p2/p5p1/2pP3p/2P5/2Q2Nqb/PP1RB1P1/3R2K1 w - - 3 27	f3e5 g3g2	685	kingsideAttack mate mateIn1 middlegame
yd6eW	3r2k1/pb4p1/4pr1p/1B1qNp1n/3P3P/P7/3Q1PP1/2R1R1K1 w - - 7 26	b5c4 d5g2	686	kingsideAttack mate mateIn1 middlegame
h547U	r2qr1k1/ppp1pp1p/3p2pB/2nP4/4PP2/2Q5/PPP3PP/R4RK1 b - - 0 16	c5e4 c3g7	687	mate mateIn1 middlegame
3V8VC	4nk2/3b1r1p/2qb1p1P/1p1r1p1N/p4Pp1/P1P1R1P1/1PB1Q2K/2B1R3 b - - 12 40	c6c4 e3e8 d7e8 e2e8	689	mate mateIn2 middlegame
bcA9v	r1b2rk1/1pq1ppbp/p2p1np1/3N4/2PQ4/1P2PB2/PB3PPP/R3K2R b KQ - 3 12	f6d5 d4g7	689	kingsideAttack mate mateIn1 middlegame
O1D8i	5r1k/p3R2p/5P2/8/4KP2/7r/P7/6R1 b - - 3 40	f8f6 e7e8 f6f8 e8f8	689	endgame mate mateIn2 rookEndgame
8i7eu	3k1r2/pp2r3/7p/3P2p1/1PPb2Q1/P7/6PP/3R1q1K w - - 5 30	d1f1 f8f1	690	backRankMate endgame mate mateIn1
QQjTD	8/6nk/1p1R2p1/1P5p/2P1P2N/3P2Pn/r6P/4R1K1 w - - 3 43	g1f1 a2f2	692	endgame mate mateIn1
WvMdw	1Bk5/5n2/p2p1Pp1/1p1P2P1/1P3K2/8/8/8 w - - 27 66	b8d6 f7d6 f6f7 d6f7	692	endgame hangingPiece
bnCwB	r2q1rk1/pbp1b1pp/1p1pp3/3P4/1PP1p3/P1Q1PN2/1B3PPP/R4RK1 b - - 0 15	e4f3 c3g7	693	kingsideAttack mate mateIn1 middlegame
3lkPE	5rk1/r3bppp/p3p3/1pp3q1/3P4/4P2R/PPQ1P1B1/2R3K1 b - - 0 21	a7c7 c2h7	694	kingsideAttack mate mateIn1 middlegame
sCGW2	4r1k1/pp3ppp/2Pb1n2/8/8/P4B1P/1q3PP1/1NQ3K1 w - - 0 21	c1b2 e8e1	694	endgame mate mateIn1
gceM8	5rk1/1p4pp/8/5r2/1PPP4/P3R3/3p2PP/3R2K1 w - - 1 37	e3e2 f5f1 d1f1 f8f1 g1f1 d2d1q	697	advancedPawn attraction endgame promotion rookEndgame
jM8nL	8/5Qpk/1p6/1P1P1P2/1P5p/4p1qP/6P1/7K w - - 0 40	f7g6 g3g6 f5g6 h7g6	697	endgame
MiSZh	8/R5p1/p4k1p/qp1bp3/5b2/8/1Q1R2PP/7K w - - 0 38	d2f2 a5e1 f2f1 e1f1	697	endgame mate mateIn2
ezwac	5rk1/pQ4bp/4Nnp1/4n3/3q4/7P/P1R2PPK/8 b - - 0 28	d4b6 b7g7	698	mate mateIn1 middlegame
euC8B	8/3k1N2/8/3P2p1/2P2p2/4p2P/2r3P1/4K3 b - - 6 56	c2c4 f7e5 d7d6 e5c4	698	endgame fork
